identifier,full_link,title,weight,axis
coin-12032,https://catalog.princeton.edu/catalog/coin-12032,Coin 12032,,
coin-12033,https://catalog.princeton.edu/catalog/coin-12033,Coin 12033,,
coin-12034,https://catalog.princeton.edu/catalog/coin-12034,Coin 12034,,
coin-12035,https://catalog.princeton.edu/catalog/coin-12035,Coin 12035,,
coin-12036,https://catalog.princeton.edu/catalog/coin-12036,Coin 12036,,
coin-12037,https://catalog.princeton.edu/catalog/coin-12037,ducat,3.51,9
coin-12038,https://catalog.princeton.edu/catalog/coin-12038,ducat,1.59,7
coin-12039,https://catalog.princeton.edu/catalog/coin-12039,ducat,3.52,6
coin-1204,https://catalog.princeton.edu/catalog/coin-1204,"as, Rome",10.79,6
coin-12040,https://catalog.princeton.edu/catalog/coin-12040,ducat,3.4,12
coin-12041,https://catalog.princeton.edu/catalog/coin-12041,ducat,3.44,12
coin-12042,https://catalog.princeton.edu/catalog/coin-12042,ducat,3.46,12
coin-12043,https://catalog.princeton.edu/catalog/coin-12043,ducat,2.64,
coin-12044,https://catalog.princeton.edu/catalog/coin-12044,ducat,2.46,12
coin-12045,https://catalog.princeton.edu/catalog/coin-12045,ducat,3.57,6
coin-12046,https://catalog.princeton.edu/catalog/coin-12046,Coin 12046,78.23,12
coin-12047,https://catalog.princeton.edu/catalog/coin-12047,Coin 12047,82.35,12
coin-12048,https://catalog.princeton.edu/catalog/coin-12048,Coin 12048,35.31,12
coin-12049,https://catalog.princeton.edu/catalog/coin-12049,Coin 12049,26.66,12
coin-12050,https://catalog.princeton.edu/catalog/coin-12050,Coin 12050,29.66,12
coin-12051,https://catalog.princeton.edu/catalog/coin-12051,Coin 12051,19.28,12
coin-12052,https://catalog.princeton.edu/catalog/coin-12052,Coin 12052,17.6,12
coin-12053,https://catalog.princeton.edu/catalog/coin-12053,Coin 12053,14.54,12
coin-12054,https://catalog.princeton.edu/catalog/coin-12054,Justinian I (527 to 565),22.49,6
coin-12055,https://catalog.princeton.edu/catalog/coin-12055,Justinian I (527 to 565),20.39,7
coin-12056,https://catalog.princeton.edu/catalog/coin-12056,Justinian I (527 to 565),19.25,6
coin-12057,https://catalog.princeton.edu/catalog/coin-12057,Justinian I (527 to 565),19.3,7
coin-12058,https://catalog.princeton.edu/catalog/coin-12058,Justinian I (527 to 565),19.97,6
coin-12059,https://catalog.princeton.edu/catalog/coin-12059,Justinian I (527 to 565),19.39,12
coin-1206,https://catalog.princeton.edu/catalog/coin-1206,"as, Lugdunum",11.6,6
coin-12060,https://catalog.princeton.edu/catalog/coin-12060,Justinian I (527 to 565),9.22,7
coin-12061,https://catalog.princeton.edu/catalog/coin-12061,Justinian I (527 to 565),3.95,
coin-12062,https://catalog.princeton.edu/catalog/coin-12062,Justinian I (527 to 565),1.83,
coin-12063,https://catalog.princeton.edu/catalog/coin-12063,Justinian I (527 to 565),4.57,5
